single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,Cluster
0,0,0,0,0,0,0,0,0,8,46,1,1
0,0,0,0,3,0,0,0,0,71,0,0,1
0,0,0,0,0,0,0,0,0,51,0,0,1
0,0,0,0,0,0,0,0,0,34,0,0,1
0,0,0,0,0,0,0,0,0,43,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,105,0,1,1
0,0,0,0,3,0,0,0,0,72,0,0,1
0,0,0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,0,0,0,0,0,98,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,50,0,0,1
0,0,0,0,0,0,0,0,0,8,46,1,1
0,0,0,0,0,0,0,0,0,43,0,0,1
0,0,0,0,3,0,0,0,0,72,0,0,1
0,0,0,0,0,0,0,0,0,64,0,0,1
0,0,0,0,0,0,0,0,0,97,0,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,35,0,0,1
0,0,0,0,0,0,0,0,0,8,68,1,1
0,0,0,0,0,0,0,0,0,43,0,0,1
0,0,0,0,0,0,0,0,0,40,0,0,1
0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,0,0,0,0,0,8,51,2,1
0,0,0,0,0,0,0,0,0,87,0,0,1
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,8,96,2,0
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,55,0,0,1
0,0,0,0,0,0,0,0,0,8,51,2,1
0,0,0,0,0,0,0,0,0,55,0,0,1
0,0,0,0,0,0,0,0,0,77,0,0,1
0,0,0,0,0,0,0,0,0,8,96,2,0
0,0,0,0,0,0,0,0,0,8,41,1,1
0,0,0,0,7,0,0,0,0,13,142,1,0
0,0,0,0,0,0,0,0,0,8,88,1,0
0,0,0,0,7,0,0,0,0,13,187,1,0
0,0,0,0,7,0,0,0,0,13,142,1,0
0,0,0,0,0,0,0,0,0,8,33,1,1
0,0,0,0,7,0,0,0,0,13,187,1,0
0,0,0,0,7,0,0,0,0,13,132,0,0
0,0,0,0,0,0,0,0,0,8,31,1,1
